3.8,Albuquerque,Goleta,501 - 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),0,0,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,na,M
3.4,Linthicum,Baltimore,10000+ ,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
4.8,Clearwater,Clearwater,501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
3.8,Richland,Richland,1001 - 5000 ,1965,Government,Energy,Oil& Gas& Energy & Utilities,$500 million to $1 billion (USD),0,0,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
2.9,New York,New York,51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
3.4,Dallas,Dallas,201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),0,0,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na
4.1,Baltimore,Baltimore,501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
3.8,San Jose,Seattle,201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),0,0,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
3.3,Rochester,Rochester,10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
4.6,New York,New York,51 - 200 ,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),0,0,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
3.5,San Jose,San Francisco,501 - 1000 ,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),0,0,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
4.1,Chantilly,Herndon,5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),0,0,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
3.2,Plano,Bentonville,10000+ ,1962,Company - Public,Department& Clothing& & Shoe Stores,Retail,$10+ billion (USD),0,0,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
4.1,Seattle,Seattle,201 - 500 ,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
3.7,Cambridge,OSAKA,10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M
3.6,Newark,Newark,1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,0,0,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
